Name,Height,Weight,Reach,Stance,Birthday,Nickname
Matt Lee,5' 11",155 lbs.,--,Orthodox,--,,
Imani Lee,--,--,--,Orthodox,--,,
Vaughan Lee,5' 6",125 lbs.,66",Orthodox,Oct 15  1982,,
Kevin Lee,5' 9",170 lbs.,77",Orthodox,Sep 04  1992,The Motown Phenom,
Rocky Lee,5' 9",145 lbs.,68",Orthodox,Apr 08  1987,,
Andrea Lee,5' 6",125 lbs.,69",Orthodox,Feb 11  1989,KGB,
Ricky Legere Jr.,5' 8",170 lbs.,--,,--,IE Bad Boy,
Sherron Leggett,5' 8",155 lbs.,--,Southpaw,Oct 27  1978,Rob Roy,
Cheyden Leialoha,5' 8",135 lbs.,73",Orthodox,Mar 15  1994,Steadfast,
Thales Leites,6' 1",185 lbs.,78",Orthodox,Sep 06  1981,,
Stefan Leko,6' 2",215 lbs.,--,Orthodox,Jun 03  1974,Blitz,
Gabe Lemley,5' 8",155 lbs.,--,Orthodox,--,,
Amanda Lemos,5' 4",135 lbs.,65",Southpaw,May 22  1987,Amandinha,
Giacomo Lemos,6' 3",247 lbs.,75",Orthodox,Jun 23  1989,,
Christophe Leninger,6' 0",200 lbs.,--,Southpaw,--,,
Jesse Lennox,5' 9",170 lbs.,72",Orthodox,Mar 10  1982,The Ox,
Jean Francois Lenogue,6' 0",185 lbs.,--,Orthodox,Nov 29  1972,,
Nik Lentz,5' 8",155 lbs.,68",Orthodox,Aug 13  1984,The Carny,
Alberta Cerra Leon,5' 8",238 lbs.,--,,--,,
Anthony Leone,5' 6",135 lbs.,--,Orthodox,May 27  1987,,
Chad Leonhardt,6' 0",170 lbs.,--,,Feb 19  1980,The Boss,
Kimo Leopoldo,6' 3",235 lbs.,--,Orthodox,Jan 05  1968,,
Michael Lerma,--,--,--,,--,,
Lukasz Les,--,170 lbs.,--,,Nov 05  1981,,
Brock Lesnar,6' 3",265 lbs.,81",Orthodox,Jul 12  1977,,
Frank Lester,5' 11",170 lbs.,--,Orthodox,Jun 10  1984,,
Valerie Letourneau,5' 7",115 lbs.,68",Orthodox,Apr 29  1983,Trouble,
Leah Letson,5' 7",145 lbs.,71",,Aug 21  1992,Nidas,
Justin Levens,5' 11",185 lbs.,--,Orthodox,Apr 18  1980,The Executioner,
Marcus LeVesseur,5' 9",155 lbs.,70",Southpaw,Jul 17  1982,The Prospect,
David Levicki,6' 5",275 lbs.,--,,--,,
Kyle Levinton,--,--,--,,--,,
John Lewis,6' 0",155 lbs.,--,Southpaw,--,,
Derrick Lewis,6' 3",260 lbs.,79",Orthodox,Feb 07  1985,The Black Beast,
Bevon Lewis,6' 3",185 lbs.,79",Orthodox,May 05  1991,,
Chi Lewis-Parry,6' 9",243 lbs.,--,,Aug 10  1983,Chopper,
Jingliang Li,6' 0",170 lbs.,71",Orthodox,Mar 20  1988,The Leech,
Jess Liaudin,5' 9",170 lbs.,72",Orthodox,--,The Joker,
Chuck Liddell,6' 2",205 lbs.,76",Orthodox,Dec 17  1969,The Iceman,
Sam Liera,--,--,--,,--,,
Zach Light,5' 8",170 lbs.,--,Orthodox,Feb 06  1974,,
Scott Lighty,6' 2",205 lbs.,--,,Oct 15  1978,,
Chris Liguori,5' 9",185 lbs.,--,Orthodox,--,,
Donnie Liles,5' 9",170 lbs.,--,Orthodox,--,,
Jae Suk Lim,5' 9",170 lbs.,--,Orthodox,Nov 09  1979,,
Hyun Gyu Lim,6' 3",170 lbs.,77",Orthodox,Jan 16  1985,The Ace,
Juliana Lima,5' 5",115 lbs.,65",Orthodox,Mar 15  1982,Ju Thai,
Dhiego Lima,6' 2",170 lbs.,75",Orthodox,Jan 31  1989,,
Douglas Lima,6' 1",170 lbs.,--,,Jan 05  1988,The Phenom,
Mabelly Lima,5' 2",135 lbs.,--,Orthodox,Jan 25  1994,,
Miguel Linares,--,--,--,,--,,
Matt Lindland,6' 0",185 lbs.,74",Southpaw,May 17  1970,The Law,
Jake Lindsey,5' 11",155 lbs.,71",Switch,Jun 21  1986,The Librarian,
John Lineker,5' 3",135 lbs.,67",Orthodox,Jun 12  1990,Hands of Stone,
Austin Lingo,5' 10",145 lbs.,70",Orthodox,Jul 10  1994,Lights Out,
Lucio Linhares,6' 2",185 lbs.,--,Orthodox,Dec 08  1973,,
Philipe Lins,6' 2",240 lbs.,78",Orthodox,Aug 17  1985,Monstro,
Ariane Lipski,5' 6",125 lbs.,67",Orthodox,Jan 26  1994,Queen of Violence,
Dean Lister,6' 1",185 lbs.,75",Orthodox,Feb 13  1976,The Boogeyman,
Wesley Little,6' 4",205 lbs.,--,,--,,
Abner Lloveras,5' 11",155 lbs.,71",,Sep 04  1982,Skullman,
Brian Lo-A-Njoe,5' 7",155 lbs.,--,Orthodox,--,,
John Lober,5' 11",199 lbs.,--,Orthodox,Feb 26  1968,The Machine,
Artem Lobov,5' 9",145 lbs.,65",Southpaw,Aug 11  1986,The Russian Hammer,
Dylan Lockard,5' 9",145 lbs.,72",Orthodox,May 19  1992,,
Sean Loeffler,6' 3",185 lbs.,--,Orthodox,May 23  1982,The Destroyer,
Christian Lohsen,6' 2",155 lbs.,77",Southpaw,Jan 24  1995,Hollywood,
David Loiseau,6' 0",185 lbs.,76",Orthodox,Dec 17  1979,The Crow,
Hector Lombard,5' 9",185 lbs.,71",Southpaw,Feb 02  1978,,
Michael Lombardo,6' 0",185 lbs.,72",Orthodox,Apr 03  1990,The Don,
Rocky Long,--,145 lbs.,--,,Feb 18  1978,,
Thomas Longacre,5' 9",145 lbs.,--,Orthodox,--,,
Loma Lookboonmee,5' 1",115 lbs.,61",Orthodox,Jan 18  1996,,
Lucas Lopes,6' 2",185 lbs.,--,,Oct 05  1979,,
Dileno Lopes,5' 5",135 lbs.,65",,Sep 26  1984,,
Ivan Lopez,5' 6",135 lbs.,--,Southpaw,--,,
Steve Lopez,5' 11",155 lbs.,--,Orthodox,Jul 30  1984,,
Federico Lopez,5' 4",139 lbs.,--,Orthodox,--,Kiko,
Jorge Lopez,5' 10",170 lbs.,--,Orthodox,Nov 21  1988,,
Christopher Lopez,5' 10",170 lbs.,--,,Jan 30  1986,,
Matthew Lopez,5' 7",135 lbs.,69",Southpaw,Jan 21  1987,,
Benito Lopez,5' 10",135 lbs.,73",Switch,Apr 06  1994,Golden Boy,
Brendan Loughnane,5' 10",145 lbs.,70",Switch,Dec 05  1989,,
Nate Loughran,6' 2",185 lbs.,--,Orthodox,Jul 28  1980,,
Rashard Lovelace,--,155 lbs.,--,,--,,
Ian Loveland,5' 8",145 lbs.,--,Orthodox,Sep 07  1983,The Barn Owl,
Jakob Lovstad,6' 3",205 lbs.,--,Orthodox,--,The Striking Viking,
Waylon Lowe,5' 7",145 lbs.,--,Southpaw,Oct 31  1980,,
Brandon Lowe,--,155 lbs.,--,,--,,
Joe Lowry,5' 10",155 lbs.,72",Orthodox,Dec 12  1989,,
Robert Lucarelli,6' 2",245 lbs.,--,,--,,
Matt Lucas,6' 1",205 lbs.,--,,--,Luke Duke,
Cleber Luciano,5' 6",155 lbs.,--,,--,,
Duane Ludwig,5' 10",170 lbs.,70",Orthodox,Aug 04  1978,Bang,
Mike Lullo,5' 8",145 lbs.,--,Orthodox,Jul 24  1979,,
Dalcha Lungiambula,5' 8",205 lbs.,76",Orthodox,Jul 31  1987,Champion,
Alexandru Lungu,6' 0",385 lbs.,--,Orthodox,Sep 03  1974,,
Vicente Luque,5' 11",170 lbs.,75",Orthodox,Nov 27  1991,The Silent Assassin,
Thaddeus Luster,6' 3",210 lbs.,--,,--,,
Travis Lutter,5' 11",185 lbs.,75",Orthodox,May 12  1973,The Serial Killer,
Zhenhong Lv,5' 8",145 lbs.,67",Switch,Jun 25  1993,Bull Demon King,
Stevie Lynch,5' 10",170 lbs.,--,Orthodox,--,,
Adam Lynn,5' 10",155 lbs.,--,Orthodox,--,,
Chris Lytle,5' 11",170 lbs.,68",Orthodox,Aug 18  1974,Lights Out,
Dong Hyun Ma,5' 11",155 lbs.,70",Orthodox,Sep 09  1988,Maestro,
William Patolino,5' 11",170 lbs.,75",Orthodox,Jul 01  1991,Patolino,
Jason MacDonald,6' 3",185 lbs.,80",Orthodox,Jun 03  1975,The Athlete,
Rob MacDonald,6' 3",205 lbs.,78",Orthodox,Sep 05  1978,Maximus,
Rory MacDonald,6' 0",170 lbs.,76",Orthodox,Jul 22  1989,Red King,
Ryan MacDonald,5' 11",135 lbs.,71",Switch,Mar 18  1993,Main Event,
Veronica Macedo,5' 4",125 lbs.,64",Southpaw,Oct 30  1995,,
Clayton MacFarlane,--,170 lbs.,--,,--,,
Ilima Macfarlane,5' 4",125 lbs.,--,,--,,
Lyoto Machida,6' 1",185 lbs.,74",Southpaw,May 30  1978,The Dragon,
Jon Koppenhaver,5' 11",170 lbs.,--,Orthodox,Nov 30  1981,War Machine,
Anthony Macias,5' 9",185 lbs.,--,Switch,--,Mad Dog,
Reza Madadi,5' 11",155 lbs.,72",Orthodox,Jun 20  1978,Mad Dog,
Don Madge,6' 0",155 lbs.,72",Southpaw,Nov 12  1990,Magic Man,
Ryan Madigan,6' 0",170 lbs.,--,Orthodox,--,,
Jon Madsen,6' 0",240 lbs.,72",Orthodox,Feb 12  1980,,
Mark Madsen,5' 8",155 lbs.,72",Orthodox,Sep 23  1984,The Olympian,
Yoshiro Maeda,5' 7",139 lbs.,68",Southpaw,Oct 31  1981,,
Leonardo Mafra,5' 10",155 lbs.,70",Orthodox,Apr 25  1989,Macarrao,
Vinny Magalhaes,6' 3",205 lbs.,79",Orthodox,Jul 02  1984,Pezao,
Vinicius Magalhaes,--,145 lbs.,--,,Jul 30  1971,Draculinho,
Caio Magalhaes,6' 1",185 lbs.,73",Orthodox,Dec 14  1987,Hellboy,
Bernardo Magalhaes,5' 9",155 lbs.,65",Orthodox,Apr 08  1981,Trekko,
Eric Magana,--,--,--,,--,,
Brandon Magana,--,170 lbs.,--,Orthodox,--,,
Angela Magana,5' 1",115 lbs.,65",Orthodox,Aug 02  1983,Your Majesty,
Neil Magny,6' 3",170 lbs.,80",Orthodox,Aug 03  1987,,
Ibragim Magomedov,6' 0",250 lbs.,--,Orthodox,--,,
Rashid Magomedov,5' 9",155 lbs.,70",Orthodox,Nov 29  1984,Goretz,
Ruslan Magomedov,6' 3",242 lbs.,78",Orthodox,Nov 26  1986,Leopard,
Zabit Magomedsharipov,6' 1",145 lbs.,73",Orthodox,Mar 01  1991,,
John Maguire,5' 9",155 lbs.,69",Southpaw,May 19  1983,The One,
Lolohea Mahe,--,--,--,,--,,
Michelle Maher,--,145 lbs.,--,,--,,
Bill Mahood,6' 3",200 lbs.,--,Orthodox,Feb 01  1967,The Butcher,
Klayton Mai,5' 9",125 lbs.,--,,Nov 30  1986,,
Demian Maia,6' 1",170 lbs.,72",Southpaw,Nov 06  1977,,
Jennifer Maia,5' 4",125 lbs.,64",Orthodox,Oct 06  1988,,
Levan Makashvili,5' 8",145 lbs.,68",Orthodox,Jan 07  1989,The Hornet,
John Makdessi,5' 8",155 lbs.,68",Orthodox,May 03  1985,The Bull,
Islam Makhachev,5' 10",155 lbs.,70",Orthodox,Oct 27  1991,,
Aliev Makhmud,5' 6",195 lbs.,--,Southpaw,Feb 13  1970,,
Zach Makovsky,5' 4",125 lbs.,64",Southpaw,Apr 19  1983,Fun Size,
Jeremy Malaterre,5' 11",155 lbs.,--,,--,,
Fabio Maldonado,6' 1",205 lbs.,75",Orthodox,Mar 17  1980,Caipira de Aco,
Marvin Maldonado,5' 6",135 lbs.,--,,--,The Bulldog,
Bea Malecki,5' 9",135 lbs.,74",Orthodox,Aug 23  1991,,
Nazareno Malegarie,5' 8",155 lbs.,70",,May 16  1986,El Tigre,
Carl Malenko,5' 11",200 lbs.,--,Orthodox,--,,
Mike Malott,6' 0",145 lbs.,--,,--,The Main Attraction,
Troy Mandaloniz,5' 9",170 lbs.,--,Orthodox,Feb 01  1980,Rude Boy,
Michael Mangan,--,155 lbs.,--,,--,,
Melvin Manhoef,5' 9",185 lbs.,--,Orthodox,May 11  1976,Marvelous,
Melchor Manibusan,5' 5",154 lbs.,--,Southpaw,Dec 27  1976,Barracuda,
Jon Manley,6' 1",170 lbs.,75",Orthodox,Jul 07  1986,,
Steve Mann,6' 1",170 lbs.,--,,--,,
Chris Manuel,5' 9",135 lbs.,--,Orthodox,Jul 21  1987,,
Jimi Manuwa,6' 1",205 lbs.,79",Orthodox,Feb 18  1980,Poster Boy,
Cristiano Marcello,5' 9",155 lbs.,72",Orthodox,Dec 03  1977,,
Jose Maria,5' 5",125 lbs.,--,Orthodox,Jan 04  1982,No Chance,
Marcos Mariano,6' 1",155 lbs.,76",Switch,Oct 12  1986,Dhalsim,
Enrique Marin,5' 10",170 lbs.,74",,Sep 02  1986,Wasabi,
Ronny Markes,6' 1",185 lbs.,75",Orthodox,Apr 21  1988,,
Rory Markham,6' 0",170 lbs.,71",Orthodox,Mar 25  1982,,
Randa Markos,5' 4",115 lbs.,63",Orthodox,Aug 10  1985,Quiet Storm,
Christina Marks,5' 7",125 lbs.,69",Orthodox,Nov 08  1985,,
Nate Marquardt,6' 0",185 lbs.,74",Orthodox,Apr 20  1979,The Great,
Julian Marquez,6' 2",185 lbs.,75",Orthodox,May 08  1990,The Cuban Missle Crisis,
Carmelo Marrero,6' 0",205 lbs.,73",Orthodox,Jan 26  1981,The Fury,
Cesar Marscucci,--,--,--,,--,,
John Marsh,6' 0",265 lbs.,--,Orthodox,Sep 15  1970,,
CJ Marsh,--,--,--,,--,,
Eliot Marshall,6' 2",205 lbs.,77",Orthodox,Jul 07  1980,Fire,
Doug Marshall,5' 10",205 lbs.,--,Orthodox,Sep 09  1975,The Rhino,
David Marshall,6' 2",170 lbs.,--,,Aug 24  1984,,
Jack Marshman,6' 0",185 lbs.,73",Orthodox,Dec 19  1989,The Hammer,
Terry Martin,5' 8",185 lbs.,71",Orthodox,Oct 10  1980,,
Eric Martin,--,--,--,,--,,
Justin Martin,6' 0",185 lbs.,--,,--,,
Dave Martin,6' 0",205 lbs.,--,,--,,
Joe Martin,5' 9",170 lbs.,--,,--,,
Anthony Rocco Martin,6' 0",170 lbs.,73",Orthodox,Dec 11  1989,,
Mallory Martin,5' 4",115 lbs.,63",Orthodox,Jan 29  1994,,
Michal Martinek,6' 2",230 lbs.,--,Southpaw,Apr 19  1990,Blackbeard,
Rainy Martinez,6' 0",199 lbs.,--,Orthodox,--,,
Danny Martinez,5' 6",125 lbs.,67",Orthodox,Jun 14  1985,The Gremlin,
Alonzo Martinez,5' 10",155 lbs.,--,,Apr 22  1984,Zo Diddy,
Henry Martinez,5' 7",155 lbs.,68",Southpaw,Aug 07  1983,Sicario,
Jonathan Martinez,5' 8",135 lbs.,70",Southpaw,Apr 20  1994,Dragon,
Poppies Martinez,5' 9",145 lbs.,--,,Aug 19  1983,The Tachi Kid,
Andrew Martinez,5' 9",215 lbs.,--,,--,Mickey D,
Wagner da Conceicao Martins,6' 7",390 lbs.,--,Orthodox,May 19  1978,Zuluzinho,
Adriano Martins,5' 10",155 lbs.,72",Southpaw,Dec 16  1982,,
Lucas Martins,6' 0",145 lbs.,72",Southpaw,Nov 11  1988,Mineiro,
Max Martyniouk,--,155 lbs.,--,,--,Payne,
Bristol Marunde,6' 1",170 lbs.,71",Orthodox,Apr 20  1982,,
Shoji Maruyama,5' 7",139 lbs.,--,Orthodox,Apr 24  1983,,
Mike Massenzio,6' 2",185 lbs.,73",Southpaw,Nov 01  1982,The Master of Disaster,
Jameel Massouh,5' 10",145 lbs.,72",Orthodox,Sep 12  1984,,
Tiffany Masters,5' 3",115 lbs.,65",Orthodox,Jul 31  1994,Rainbow Renegade,
Jorge Masvidal,5' 11",170 lbs.,74",Orthodox,Nov 12  1984,Gamebred,
Tateki Matsuda,5' 7",125 lbs.,65",Orthodox,Feb 27  1986,Tech,
Daijiro Matsui,5' 9",200 lbs.,--,Orthodox,Dec 05  1972,,
Koichiro Matsumoto,5' 7",145 lbs.,--,,Mar 07  1986,,
Naoki Matsushita,5' 6",155 lbs.,--,Orthodox,--,,
AJ Matthews,5' 11",185 lbs.,--,,--,,
Jake Matthews,5' 11",170 lbs.,73",Orthodox,Aug 19  1994,The Celtic Kid,
Claudio Mattos,--,185 lbs.,--,Orthodox,--,Popeye,
John Matua,6' 2",400 lbs.,--,Orthodox,--,,
Francesco Maturi,--,--,--,,--,,
Vladimir Matyushenko,6' 0",205 lbs.,74",Orthodox,Jan 04  1971,The Janitor,
Elaina Maxwell,5' 8",145 lbs.,--,Orthodox,Dec 16  1978,Beef,
Jeremy May,6' 1",185 lbs.,--,,Oct 23  1986,,
Jack May,6' 8",255 lbs.,79",Switch,Apr 14  1981,The Outlaw,
Don'Tale Mayes,6' 6",260 lbs.,81",Orthodox,Jan 16  1992,Lord Kong,
Gray Maynard,5' 9",155 lbs.,70",Orthodox,May 09  1979,,
Brooke Mayo,5' 7",125 lbs.,--,,--,The Bully,
Gina Mazany,5' 6",135 lbs.,68",Southpaw,Aug 19  1988,Danger,
Sabina Mazo,5' 7",125 lbs.,70",Orthodox,Mar 25  1997,Colombian Queen,
Scott McAfee,5' 8",155 lbs.,--,Orthodox,Aug 23  1983,,
Bobby McAndrews,--,--,--,Orthodox,--,,
Michael McBride,6' 1",155 lbs.,75",Orthodox,Mar 09  1986,,
Ian McCall,5' 5",125 lbs.,64",Orthodox,May 07  1984,Uncle Creepy,
Molly McCann,5' 4",125 lbs.,62",Orthodox,May 04  1990,Meatball,
Charles McCarthy,5' 10",185 lbs.,71",Orthodox,Aug 06  1980,Chainsaw,
Sean McCorkle,6' 7",265 lbs.,81",Orthodox,Jul 17  1976,,
Kris McCray,6' 0",170 lbs.,76",Orthodox,Sep 24  1981,Savage,
Tamdan McCrory,6' 4",185 lbs.,78",Switch,Nov 05  1986,The Barncat,
Rob McCullough,5' 9",155 lbs.,69",Orthodox,May 26  1977,Razor,
Justin McCully,6' 1",225 lbs.,73",Orthodox,Feb 18  1976,The Insane One,
Bubba McDaniel,6' 3",185 lbs.,75",Southpaw,May 03  1983,The Menace,
Michael McDonald,5' 11",205 lbs.,--,Orthodox,Feb 06  1965,The Black Sniper,
Scott McDonald,--,--,--,,--,,
Michael McDonald,5' 9",135 lbs.,70",Orthodox,Jan 15  1991,Mayday,
Josh McDonald,--,185 lbs.,--,,--,,
Miles McDonald,5' 7",115 lbs.,--,,Aug 13  1991,,
Justin McElfresh,6' 6",205 lbs.,--,Orthodox,Jan 04  1980,,
Drew McFedries,6' 0",185 lbs.,72",Southpaw,Jul 27  1978,The Massacre,
Liam McGeary,6' 6",205 lbs.,--,,Oct 04  1982,,
Gan McGee,6' 10",265 lbs.,--,Orthodox,Nov 20  1976,The Giant,
Court McGee,5' 11",170 lbs.,75",Orthodox,Dec 12  1984,The Crusher,
Kelly Velasco,5' 9",135 lbs.,--,Orthodox,May 21  1995,Killer,
Ryan McGillivray,5' 11",170 lbs.,--,,Sep 27  1986,The Kid,
Ryan McGivern,6' 0",185 lbs.,--,Orthodox,Jan 17  1980,,
Jack McGlaughlin,--,--,--,Orthodox,--,,
Conor McGregor,5' 9",155 lbs.,74",Southpaw,Jul 14  1988,The Notorious,
Greg McIntyre,5' 10",155 lbs.,--,Orthodox,Apr 21  1980,,
Antonio McKee,5' 8",155 lbs.,--,Southpaw,Mar 12  1970,Mandingo,
AJ McKee,5' 10",145 lbs.,--,,--,Mercenary,
Tim McKenzie,6' 0",185 lbs.,74",Orthodox,Jul 21  1982,,
Cody McKenzie,6' 0",155 lbs.,72",Switch,Dec 16  1987,,
Terrance McKinney,5' 11",145 lbs.,74",Switch,Sep 15  1994,T.Wrecks,
Brian McLaughlin,5' 9",155 lbs.,--,,May 12  1984,,
Jason McLean,5' 5",145 lbs.,--,,--,,
Garreth McLellan,6' 1",185 lbs.,72",Southpaw,Sep 01  1982,Soldier Boy,
Sara McMann,5' 6",135 lbs.,66",Orthodox,Sep 24  1980,,
James McSweeney,6' 4",230 lbs.,77",Switch,Oct 24  1980,The Hammer,
Charles McTorry,--,--,--,,--,,
Daniel McWilliams,6' 1",185 lbs.,--,,--,The Animal,
Tim Means,6' 2",170 lbs.,75",Orthodox,Feb 20  1984,The Dirty Bird,
Yancy Medeiros,5' 10",155 lbs.,75",Orthodox,Sep 07  1987,,
Anistavio Medeiros,5' 6",145 lbs.,--,Orthodox,May 01  1988,Gasparzinho,
Kaline Medeiros,5' 3",115 lbs.,--,,--,The Dark Angel,
Todd Medina,5' 10",193 lbs.,--,Southpaw,--,El Tiburon,
Jason Medina,5' 9",180 lbs.,--,,--,,
Alton Meeks,6' 5",265 lbs.,75",Orthodox,Apr 05  1994,Murda,
Gerald Meerschaert,6' 1",185 lbs.,77",Southpaw,Dec 18  1987,GM3,
Frank Megallon,5' 10",185 lbs.,--,Southpaw,--,,
Derrick Mehmen,6' 4",205 lbs.,--,,May 30  1985,Caveman,
Miika Mehmet,--,205 lbs.,--,Orthodox,--,,
Jordan Mein,6' 0",170 lbs.,73",Orthodox,Oct 10  1989,Young Gun,
Bryce Mejia,6' 1",170 lbs.,--,,--,,
Brian Melancon,5' 8",170 lbs.,72",Orthodox,May 28  1982,,
Brandon Melendez,5' 11",155 lbs.,--,Southpaw,Mar 24  1983,The Murderer,
Gilbert Melendez,5' 9",145 lbs.,73",Orthodox,Apr 12  1982,El Nino,
Marcelo Mello,5' 7",170 lbs.,--,Southpaw,--,,
Fabio Mello,5' 5",155 lbs.,--,Southpaw,--,,
Vanessa Melo,5' 5",135 lbs.,65",Orthodox,Mar 27  1988,Miss Simpatia,
Antonio Mendes,6' 3",205 lbs.,77",Southpaw,Apr 19  1981,Samurai,
Chad Mendes,5' 6",145 lbs.,66",Orthodox,May 01  1985,Money,
Augusto Mendes,5' 6",135 lbs.,65",Orthodox,Mar 03  1983,Tanquinho,
Eddie Mendez,5' 10",185 lbs.,76",,Jan 16  1984,,
Luis Mendoza,--,155 lbs.,--,,--,,
Pietro Menga,5' 7",125 lbs.,68",Southpaw,Feb 15  1988,The Italian Stallion,
Alonzo Menifield,6' 0",205 lbs.,76",Orthodox,Oct 18  1987,,
Ivan Menjivar,5' 6",145 lbs.,64",Orthodox,May 30  1982,The Pride of El Salvador,
Dave Menne,5' 10",170 lbs.,--,Orthodox,Jul 29  1974,The Warrior,
Steve Mensing,5' 11",185 lbs.,--,Orthodox,Dec 06  1977,The Machine,
Buck Meredith,6' 2",185 lbs.,--,,May 17  1982,,
Adam Meredith,6' 2",170 lbs.,--,,--,,
Joe Merritt,6' 0",170 lbs.,73",Orthodox,Mar 07  1984,Joey Slash,
Jeremiah Metcalf,6' 1",185 lbs.,--,Orthodox,--,,
Jonathan Meunier,6' 3",170 lbs.,75",Switch,Aug 04  1987,The French Spider,
Yaotzin Meza,5' 9",145 lbs.,74",Orthodox,Feb 04  1981,,
Guy Mezger,6' 1",200 lbs.,--,Orthodox,Jan 01  1968,,
Brandon Michaels,5' 9",185 lbs.,--,,--,,
David Michaud,5' 9",155 lbs.,72",Orthodox,Nov 10  1988,BullDawg,
Chris Mickle,5' 9",145 lbs.,--,Orthodox,Jul 10  1983,,
Zachary Micklewright,6' 0",155 lbs.,74",Southpaw,Aug 21  1976,,
Kristof Midoux,6' 1",220 lbs.,--,Orthodox,Jul 30  1974,The Hurricane,
Keith Mielke,5' 8",185 lbs.,--,,--,,
Chris Mierzwiak,6' 1",185 lbs.,--,,Feb 14  1988,,
Gabriel Miglioli,5' 8",170 lbs.,--,,--,Biel,
Bojan Mihajlovic,5' 11",205 lbs.,73",Orthodox,Mar 30  1980,,
Billy Miles,5' 10",170 lbs.,--,Orthodox,Apr 28  1978,The Kid,
Pat Miletich,5' 10",170 lbs.,--,Orthodox,Mar 09  1968,The Croatian Sensation,
Curtis Millender,6' 2",170 lbs.,76",Orthodox,Dec 01  1987,Curtious,
Phillip Miller,5' 11",185 lbs.,--,Orthodox,Feb 20  1979,,
Jason Miller,6' 1",185 lbs.,72",Orthodox,Dec 24  1980,Mayhem,
Dan Miller,6' 1",185 lbs.,74",Orthodox,Jun 30  1981,,
Jim Miller,5' 8",155 lbs.,71",Southpaw,Aug 30  1983,A-10,
Cole Miller,6' 1",145 lbs.,74",Orthodox,Apr 26  1984,Magrinho,
Henry Miller,5' 7",270 lbs.,--,Southpaw,Jul 16  1969,Sentoryu,
Micah Miller,6' 0",145 lbs.,--,Orthodox,Feb 14  1987,Maverick,
Aaron Miller,5' 9",145 lbs.,--,,--,Blood Spiller,
Eddy Millis,6' 1",185 lbs.,--,,--,,
Che Mills,6' 1",170 lbs.,76",Orthodox,Sep 29  1982,Beautiful,
Adam Milstead,6' 3",205 lbs.,76",Orthodox,Jul 03  1987,The Prototype,
Alberto Mina,6' 0",170 lbs.,77",Orthodox,May 02  1982,Soldier of God,
Vitaly Minakov,6' 2",249 lbs.,--,,Feb 06  1985,,
Darrick Minner,5' 7",145 lbs.,69",Orthodox,Apr 28  1990,,
Mike Minniger,--,--,--,,--,,
Ikuhisa Minowa,5' 9",181 lbs.,--,Orthodox,Jan 12  1976,Minowaman,
Stipe Miocic,6' 4",240 lbs.,80",Orthodox,Aug 19  1982,,
Frank Mir,6' 3",264 lbs.,79",Southpaw,May 24  1979,,
Juan Miranda,--,155 lbs.,--,,--,,
Mario Miranda,6' 3",185 lbs.,74",Orthodox,Jul 12  1979,,
Vitor Miranda,6' 1",185 lbs.,77",Orthodox,Mar 10  1979,Lex Luthor,
Damir Mirenic,6' 0",185 lbs.,--,Orthodox,Aug 02  1974,Wolf,
Kazuo Misaki,5' 8",183 lbs.,--,Orthodox,Apr 25  1976,Hitman,
Toby Misech,5' 8",145 lbs.,--,Southpaw,Mar 07  1988,2 Quick,
Dokonjonosuke Mishima,5' 7",155 lbs.,--,Southpaw,Apr 19  1972,,
Felix Lee Mitchell,--,--,--,Orthodox,--,,
David Mitchell,6' 0",170 lbs.,76",Orthodox,Oct 24  1979,Daudi,
Danny Mitchell,6' 2",170 lbs.,74",Orthodox,Aug 08  1986,The Cheesecake Assassin,
Brad Mitchell,5' 11",145 lbs.,--,,Oct 10  1974,,
Clay Mitchell,6' 2",185 lbs.,--,,--,,
Bryce Mitchell,5' 10",145 lbs.,70",Southpaw,Oct 04  1994,Thug Nasty,
Maurice Mitchell,5' 9",145 lbs.,--,Orthodox,Jun 29  1987,The AK Kid,
Roman Mitichyan,5' 10",170 lbs.,--,Orthodox,Sep 04  1978,,
Matt Mitrione,6' 3",265 lbs.,79",Switch,Jul 15  1978,,
Eiji Mitsuoka,5' 7",145 lbs.,--,Southpaw,Jan 01  1976,,
Hiromitsu Miura,5' 9",170 lbs.,71",Orthodox,Sep 22  1981,,
Jonathan  Mix,6' 0",168 lbs.,--,,Nov 09  1980,,
Tomoya Miyashita,5' 7",139 lbs.,--,Southpaw,--,,
Kazuyuki Miyata,5' 8",139 lbs.,--,Orthodox,--,,
Motoki Miyazawa,5' 11",168 lbs.,--,Southpaw,--,,
Takeya Mizugaki,5' 7",135 lbs.,68",Orthodox,Dec 16  1983,,
Tatsuya Mizuno,6' 1",205 lbs.,--,Southpaw,Jun 02  1981,,
Roxanne Modafferi,5' 7",125 lbs.,69",Orthodox,Sep 24  1982,The Happy Warrior,
Bobby Moffett,5' 10",145 lbs.,73",Orthodox,Jun 01  1990,The Wolfman,
Bronson Mohika,--,135 lbs.,--,,--,,
Nate Mohr,5' 9",155 lbs.,72",Orthodox,Mar 03  1983,,
Thiago Moises,5' 9",155 lbs.,70",Orthodox,Mar 23  1995,,
Ashkan Mokhtarian,5' 6",125 lbs.,67",Southpaw,Sep 15  1985,The Assassin,
Suman Mokhtarian,5' 8",145 lbs.,72",Orthodox,Jun 13  1992,,
